time_sequence_,path_index_,path_x_,path_y_,path_heading_,path_curvature_,steer_angle_,truck_x_,truck_y_,truck_heading_,truck_heading_rate_,truck_lateral_err_,truck_heading_err_,trailer_path_x_,trailer_path_y_,trailer_path_heading_,trailer_path_curvature_,trailer_x_,trailer_y_,trailer_heading_,trailer_heading_rate_,trailer_lateral_err_,trailer_heading_err_
1,1,-4.25,0,0,0,0,-4.25,0,0,0,0,0,-11.9,0,0,0,-3.4,0,0,0,0,0
2,1,-4.25,0,0,0,0.00306316714942067,-4.25000243985777,4.00794211893445e-07,-4.46772277618006e-08,-1.48389729430126e-05,4.00794211893445e-07,-4.46772277618006e-08,-11.9,0,0,0,-9.04223848532534,1.63411483818756e-07,1.73704674490769e-08,5.84899084363757e-06,1.63411483818756e-07,1.73704674490769e-08
3,1,-4.25,0,0,0,0.00967426816336614,-4.25001400424874,2.95378104596276e-06,-3.60967371548289e-07,-4.85171941945135e-05,2.95378104596276e-06,-3.60967371548289e-07,-11.9,0,0,0,-9.04223062234756,1.28916975692762e-06,1.44473230886947e-07,1.9693440166227e-05,1.28916975692762e-06,1.44473230886947e-07
4,1,-4.25,0,0,0,0.013981710363088,-4.25002334990968,7.84392872368335e-06,-9.80425237706743e-07,-7.26533857060292e-05,7.84392872368335e-06,-9.80425237706743e-07,-11.9,0,0,0,-9.04219804884264,3.32617479745533e-06,3.98044068880683e-07,2.98512923368907e-05,3.32617479745533e-06,3.98044068880683e-07
5,1,-4.25,0,0,0,0.0149003427669518,-4.25002157520285,1.40059012049605e-05,-1.75630999070115e-06,-7.98584030035722e-05,1.40059012049605e-05,-1.75630999070115e-06,-11.9,0,0,0,-9.04213922185658,5.56500324008429e-06,7.14346332415636e-07,3.20187656579575e-05,5.56500324008429e-06,7.14346332415636e-07
6,1,-4.25,0,0,0,0.0136437771301624,-4.25001053190297,2.02234520410154e-05,-2.53404817529733e-06,-7.42541322820305e-05,2.02234520410154e-05,-2.53404817529733e-06,-11.9,0,0,0,-9.04207133643643,7.45308666602766e-06,1.0141222364211e-06,2.70098588764996e-05,7.45308666602766e-06,1.0141222364211e-06
7,1,-4.25,0,0,0,0.0119626111973581,-4.24998548331684,2.57200417455401e-05,-3.22683949844382e-06,-6.4386036185979e-05,2.57200417455401e-05,-3.22683949844382e-06,-11.9,0,0,0,-9.04200391865644,8.87526426568503e-06,1.24373131185642e-06,1.87921387245795e-05,8.87526426568503e-06,1.24373131185642e-06
8,1,-4.25,0,0,0,0.0109671406715148,-4.24993552915549,3.03690859728767e-05,-3.83135924116008e-06,-5.72990527362631e-05,3.03690859728767e-05,-3.83135924116008e-06,-11.9,0,0,0,-9.04193523992299,1.00959415853736e-05,1.39395026634482e-06,1.17121900658967e-05,1.00959415853736e-05,1.39395026634482e-06
9,1,-4.25,0,0,0,0.0105437022949226,-4.24985989737153,3.44387195080227e-05,-4.3875314339396e-06,-5.44959692455728e-05,3.44387195080227e-05,-4.3875314339396e-06,-11.9,0,0,0,-9.04186801752806,1.14823821315128e-05,1.48924654630707e-06,7.95925578587275e-06,1.14823821315128e-05,1.48924654630707e-06
10,1,-4.25,0,0,0,0.0100605757470907,-4.24976557084255,3.82276582491987e-05,-4.93016542230919e-06,-5.42389859034086e-05,3.82276582491987e-05,-4.93016542230919e-06,-11.9,0,0,0,-9.04180818946262,1.32619059121551e-05,1.56505326751659e-06,7.77297037340555e-06,1.32619059121551e-05,1.56505326751659e-06
11,1,-4.25,0,0,0,0.00940272750794051,-4.24965136216093,4.20176575509302e-05,-5.48132947737787e-06,-5.62270190564811e-05,4.20176575509302e-05,-5.48132947737787e-06,-11.9,0,0,0,-9.04175073575794,1.55135394451416e-05,1.6567603257334e-06,1.10906429729253e-05,1.55135394451416e-05,1.6567603257334e-06
12,1,-4.25,0,0,0,0.00870086239665385,-4.24951012606661,4.61749726213209e-05,-6.06490261618467e-06,-6.0476810366978e-05,4.61749726213209e-05,-6.06490261618467e-06,-11.9,0,0,0,-9.0416829962956,1.82784525921597e-05,1.796824787074e-06,1.71811622677995e-05,1.82784525921597e-05,1.796824787074e-06
13,1,-4.25,0,0,0,0.00795849700126096,-4.24934264321427,5.10201377131291e-05,-6.69764003559359e-06,-6.57993847911979e-05,5.10201377131291e-05,-6.69764003559359e-06,-11.9,0,0,0,-9.04159925054834,2.15477227930654e-05,2.00479626961146e-06,2.4343563464475e-05,2.15477227930654e-05,2.00479626961146e-06
14,1,-4.25,0,0,0,0.00743158837874385,-4.24915432123973,5.67225409435618e-05,-7.38839203393039e-06,-7.21318807896161e-05,5.67225409435618e-05,-7.38839203393039e-06,-11.9,0,0,0,-9.04149858754953,2.5247876001847e-05,2.28429915474597e-06,3.13644094241114e-05,2.5247876001847e-05,2.28429915474597e-06
15,1,-4.25,0,0,0,0.00736669357900958,-4.24894301675934,6.34071281001613e-05,-8.15132278736168e-06,-8.01447530127463e-05,6.34071281001613e-05,-8.15132278736168e-06,-11.9,0,0,0,-9.04137347759502,2.93021271969354e-05,2.63238578351697e-06,3.80278081957814e-05,2.93021271969354e-05,2.63238578351697e-06
16,1,-4.25,0,0,0,0.00753274336670451,-4.24870311139826,7.11991084415831e-05,-8.999155717205e-06,-8.87740483401318e-05,7.11991084415831e-05,-8.999155717205e-06,-11.9,0,0,0,-9.04121330698339,3.36408339416996e-05,3.04369833434276e-06,4.3882787840592e-05,3.36408339416996e-05,3.04369833434276e-06
17,1,-4.25,0,0,0,0.00790723574895489,-4.24843549192548,8.01003145907398e-05,-9.93300093542008e-06,-9.73885161683858e-05,8.01003145907398e-05,-9.93300093542008e-06,-11.9,0,0,0,-9.04101416202023,3.81701525611504e-05,3.50628786425604e-06,4.8239307486144e-05,3.81701525611504e-05,3.50628786425604e-06
18,1,-4.25,0,0,0,0.00877254796642202,-4.24814091038258,9.00058118012566e-05,-1.0956671470803e-05,-0.000106881600583274,9.00058118012566e-05,-1.0956671470803e-05,-11.9,0,0,0,-9.04077364211568,4.2817916239583e-05,4.00458450772738e-06,5.11560747824591e-05,4.2817916239583e-05,4.00458450772738e-06
19,1,-4.25,0,0,0,0.0100062398427665,-4.24781413615275,0.000100871736337583,-1.20803025644527e-05,-0.000117227112301301,0.000100871736337583,-1.20803025644527e-05,-11.9,0,0,0,-9.0404856941315,4.75833971394041e-05,4.52679044903408e-06,5.31473914736475e-05,4.75833971394041e-05,4.52679044903408e-06
20,1,-4.25,0,0,0,0.0112501538068798,-4.24745300441707,0.000112691401969519,-1.33068646334235e-05,-0.000127480207011249,0.000112691401969519,-1.33068646334235e-05,-11.9,0,0,0,-9.0401483340398,5.25071087154012e-05,5.06509543946585e-06,5.44890866907294e-05,5.25071087154012e-05,5.06509543946585e-06
21,1,-4.25,0,0,0,0.0124736398096238,-4.24705753544422,0.000125359353223635,-1.4635362180491e-05,-0.00013769770821484,0.000125359353223635,-1.4635362180491e-05,-11.9,0,0,0,-9.03976238927144,5.76323221328364e-05,5.61439128415873e-06,5.5441148923875e-05,5.76323221328364e-05,5.61439128415873e-06
22,1,-4.25,0,0,0,0.0131709040998866,-4.24661914425217,0.000138686965981552,-1.60581020238181e-05,-0.000145831247951425,0.000138686965981552,-1.60581020238181e-05,-11.9,0,0,0,-9.03932187325045,6.29962174380259e-05,6.16965807128805e-06,5.55865371251385e-05,6.29962174380259e-05,6.16965807128805e-06
23,1,-4.25,0,0,0,0.0128394387594425,-4.24612972115083,0.000152422969190165,-1.75405243763887e-05,-0.000149906118807322,0.000152422969190165,-1.75405243763887e-05,-11.9,0,0,0,-9.03882254037706,6.85908048261875e-05,6.71988161870462e-06,5.45781916731226e-05,6.85908048261875e-05,6.71988161870462e-06
24,1,-4.25,0,0,0,0.0119625175051958,-4.24558830096198,0.000166364755768486,-1.90527719421025e-05,-0.000152438253722008,0.000166364755768486,-1.90527719421025e-05,-11.9,0,0,0,-9.03826746557731,7.44374231002311e-05,7.25912359172381e-06,5.36939919790331e-05,7.44374231002311e-05,7.25912359172381e-06
25,1,-4.25,0,0,0,0.0109152370791946,-4.24498680713511,0.00018045137966278,-2.05939725330481e-05,-0.000155779642256646,0.00018045137966278,-2.05939725330481e-05,-11.9,0,0,0,-9.03765307756829,8.06302508181546e-05,7.79676669348231e-06,5.43877801387679e-05,8.06302508181546e-05,7.79676669348231e-06
26,1,-4.25,0,0,0,0.00922460973065616,-4.24431375667822,0.000194745819892238,-2.21663311031967e-05,-0.000158203563070797,0.000194745819892238,-2.21663311031967e-05,-11.9,0,0,0,-9.03697210587338,8.72585424519734e-05,8.34864705664543e-06,5.63323823954363e-05,8.72585424519734e-05,8.34864705664543e-06
27,1,-4.25,0,0,0,0.00692473678853863,-4.24356467573492,0.000209250145109801,-2.37555809938356e-05,-0.000159070194668445,0.000209250145109801,-2.37555809938356e-05,-11.9,0,0,0,-9.03622325941705,9.43255746251629e-05,8.92209112002793e-06,5.85474393564326e-05,9.43255746251629e-05,8.92209112002793e-06
28,1,-4.25,0,0,0,0.00425480388111515,-4.24273128092402,0.000223907244186818,-2.53503907812003e-05,-0.000158911521244436,0.000223907244186818,-2.53503907812003e-05,-11.9,0,0,0,-9.03540142655282,0.000101788517101092,9.51794477895531e-06,6.07393398773451e-05,0.000101788517101092,9.51794477895531e-06
29,1,-4.25,0,0,0,0.000830387523846312,-4.24180608741105,0.000238652613971174,-2.69353877110475e-05,-0.000156244589537664,0.000238652613971174,-2.69353877110475e-05,-11.9,0,0,0,-9.03450140883182,0.000109550028000561,1.01348450083195e-05,6.25986184233108e-05,0.000109550028000561,1.01348450083195e-05
30,1,-4.25,0,0,0,-0.00339210823432961,-4.24078704995229,0.000253334075749178,-2.84809803219873e-05,-0.000150776190364458,0.000253334075749178,-2.84809803219873e-05,-11.9,0,0,0,-9.03352176224077,0.000117430975687828,1.07680376433867e-05,6.39710261497846e-05,0.000117430975687828,1.07680376433867e-05
31,1,-4.25,0,0,0,-0.00764714218556916,-4.2396665812943,0.000267815950636995,-2.99737389971506e-05,-0.000145277952089706,0.000267815950636995,-2.99737389971506e-05,-11.9,0,0,0,-9.03245489305531,0.000125272824006248,1.14153163766492e-05,6.5340394435558e-05,0.000125272824006248,1.14153163766492e-05
32,1,-4.25,0,0,0,-0.0120406248076106,-4.23844062764014,0.000282033748423294,-3.14123750551994e-05,-0.000138961452329232,0.000282033748423294,-3.14123750551994e-05,-11.9,0,0,0,-9.03129557025681,0.000132951219312212,1.20749079426179e-05,6.62051975609814e-05,0.000132951219312212,1.20749079426179e-05
33,1,-4.25,0,0,0,-0.0163176134418202,-4.23710921757823,0.000295932229494065,-3.27888928183415e-05,-0.000132781091390106,0.000295932229494065,-3.27888928183415e-05,-11.9,0,0,0,-9.03004159053966,0.000140312550341701,1.274148368602e-05,6.67810372206873e-05,0.000140312550341701,1.274148368602e-05
34,1,-4.25,0,0,0,-0.020420840326073,-4.23566923177053,0.000309501507520012,-3.41125929745471e-05,-0.000127277363528458,0.000309501507520012,-3.41125929745471e-05,-11.9,0,0,0,-9.0286871962999,0.000147215724055692,1.34157856557642e-05,6.75466161635545e-05,0.000147215724055692,1.34157856557642e-05
35,1,-4.25,0,0,0,-0.0251128260534007,-4.23411972160575,0.000322713935774463,-3.53712050194869e-05,-0.000119447930283823,0.000322713935774463,-3.53712050194869e-05,-11.9,0,0,0,-9.02722793821338,0.000153462109117941,1.40960144033849e-05,6.77425412827625e-05,0.000153462109117941,1.40960144033849e-05
36,1,-4.25,0,0,0,-0.029418499532381,-4.2324592603845,0.000335575404265617,-3.65535781518688e-05,-0.000112457445909354,0.000335575404265617,-3.65535781518688e-05,-11.9,0,0,0,-9.0256585943302,0.000158909511250814,1.47764318960027e-05,6.75024911251431e-05,0.000158909511250814,1.47764318960027e-05
37,2,-4.21363306,1.021691e-07,5.616233e-06,0.0001544324,1.3168571943145,-4.23068648659328,0.000348160951021155,-3.76694611172631e-05,-0.000105671133363193,0.000348154557932861,-4.32856941172631e-05,-11.8636330598794,-4.28620133497741e-05,5.616233e-06,0.000154432377317912,-9.02397405489511,0.00016354993830343,1.5450577901706e-05,6.62400743518157e-05,0.000190463765037493,9.83434490170605e-06
38,2,-4.21363306,1.021691e-07,5.616233e-06,0.0001544324,1.31846728820395,-4.22879977155948,0.000360518202220609,-3.87225348870741e-05,-0.000101242279383117,0.000360501212900886,-4.43387678870741e-05,-11.8636330598794,-4.28620133497741e-05,5.616233e-06,0.000154432377317912,-9.02216924532292,0.000167439319370963,1.61085373594003e-05,6.45407564793371e-05,0.000194343009873887,1.04923043594003e-05
39,2,-4.21363306,1.021691e-07,5.616233e-06,0.0001544324,1.34676111340444,-4.22679668938826,0.000372669255946684,-3.97395008374096e-05,-9.71379314920587e-05,0.000372641016850578,-4.53557338374096e-05,-11.8636330598794,-4.28620133497741e-05,5.616233e-06,0.000154432377317912,-9.02023873136959,0.000170753734288472,1.67478475612031e-05,6.21740310408752e-05,0.000197646582575172,1.11316145612031e-05
40,2,-4.21363306,1.021691e-07,5.616233e-06,0.0001544324,1.51244205888387,-4.22467525413027,0.000384512234791454,-4.07046568129577e-05,-9.28451487576789e-05,0.000384472081220458,-4.63208898129577e-05,-11.8636330598794,-4.28620133497741e-05,5.616233e-06,0.000154432377317912,-9.01817801817067,0.000173624123331058,1.73577053609974e-05,5.9101698336374e-05,0.000200505398172241,1.17414723609974e-05
41,2,-4.21363306,1.021691e-07,5.616233e-06,0.0001544324,1.69358625452957,-4.22243120194377,0.000395935506169448,-4.16429591922878e-05,-9.18957292761943e-05,0.000395882749478329,-4.72591921922878e-05,-11.8636330598794,-4.28620133497741e-05,5.616233e-06,0.000154432377317912,-9.01598136532796,0.000176312733332929,1.7936465682287e-05,5.60246927012677e-05,0.000203181671259885,1.2320232682287e-05
42,2,-4.21363306,1.021691e-07,5.616233e-06,0.0001544324,1.88582155301373,-4.22006061350562,0.000406756701971319,-4.25644972260775e-05,-8.9507971688148e-05,0.000406690631503013,-4.81807302260775e-05,-11.8636330598794,-4.28620133497741e-05,5.616233e-06,0.000154432377317912,-9.01364435425067,0.000179047220352727,1.84776998805327e-05,5.17651122793772e-05,0.000205903033080907,1.28614668805327e-05
43,2,-4.21363306,1.021691e-07,5.616233e-06,0.0001544324,2.08954553128133,-4.21756072086573,0.000416723814953587,-4.34563005960315e-05,-8.71569836870782e-05,0.000416643704505583,-4.90725335960315e-05,-11.8636330598794,-4.28620133497741e-05,5.616233e-06,0.000154432377317912,-9.01116463263923,0.000181968358136517,1.89711409839143e-05,4.70419955007528e-05,0.000208810244170306,1.33549079839143e-05
44,2,-4.21363306,1.021691e-07,5.616233e-06,0.0001544324,2.30604138289166,-4.21492736739873,0.000425608834163622,-4.43255902285592e-05,-8.48414182893328e-05,0.000425513934188836,-4.99418232285592e-05,-11.8636330598794,-4.28620133497741e-05,5.616233e-06,0.000154432377317912,-9.00853951097647,0.000185197126418238,1.9416301310237e-05,4.23688027059315e-05,0.000212024269157064,1.3800068310237e-05
45,2,-4.21363306,1.021691e-07,5.616233e-06,0.0001544324,2.53264082149384,-4.21215628962797,0.000433287043887411,-4.51592599281859e-05,-8.06017858847577e-05,0.000433176580894082,-5.07754929281859e-05,-11.8636330598794,-4.28620133497741e-05,5.616233e-06,0.000154432377317912,-9.00576702690815,0.000188724239147319,1.98113551389243e-05,3.73373646013517e-05,0.000215535810969573,1.41951221389243e-05
46,2,-4.21363306,1.021691e-07,5.616233e-06,0.0001544324,2.76838288736764,-4.20924426289202,0.000439767107615527,-4.5947566945768e-05,-7.5893991656842e-05,0.000439640290001445,-5.1563799945768e-05,-11.8636330598794,-4.28620133497741e-05,5.616233e-06,0.000154432377317912,-9.00284683260647,0.000192469277101616,2.01532608741193e-05,3.19098553513793e-05,0.000219264448432208,1.45370278741193e-05
47,2,-4.21363306,1.021691e-07,5.616233e-06,0.0001544324,3.01100522087326,-4.2061884061596,0.000445116889180161,-4.66727356995297e-05,-6.75628173169047e-05,0.000444972909162571,-5.22889686995297e-05,-11.8636330598794,-4.28620133497741e-05,5.616233e-06,0.000154432377317912,-8.99977931968572,0.000196247247257663,2.04349484294389e-05,2.53617087297271e-05,0.000223025190720902,1.48187154294389e-05
48,2,-4.21363306,1.021691e-07,5.616233e-06,0.0001544324,3.25979775116603,-4.20298555922183,0.000449485613597778,-4.72965505869934e-05,-5.62612341807928e-05,0.000449323645645454,-5.29127835869934e-05,-11.8636330598794,-4.28620133497741e-05,5.616233e-06,0.000154432377317912,-8.99656474442669,0.000199760405903639,2.06473454754483e-05,1.82849422981957e-05,0.000226520295563172,1.50311124754483e-05
49,2,-4.21363306,1.021691e-07,5.616233e-06,0.0001544324,3.51303100349661,-4.19963309579234,0.000453166870613327,-4.78024392140273e-05,-4.37557265275715e-05,0.0004529860744452,-5.34186722140273e-05,-11.8636330598794,-4.28620133497741e-05,5.616233e-06,0.000154432377317912,-8.99320363804406,0.000202756342930945,2.07905679356099e-05,1.1375784863565e-05,0.000229497355833848,1.51743349356099e-05
50,2,-4.21363306,1.021691e-07,5.616233e-06,0.0001544324,3.76910417068781,-4.196129059037,0.00045648806669234,-4.81728528829812e-05,-2.90268516223438e-05,0.000456287591037302,-5.37890858829812e-05,-11.8636330598794,-4.28620133497741e-05,5.616233e-06,0.000154432377317912,-8.98969666424569,0.000205025262543945,2.08653801299208e-05,4.32510061271437e-06,0.000231746579464836,1.52491471299208e-05
51,3,-4.17726612,4.083045e-07,1.121713e-05,0.0001540106,4.02068604258026,-4.19247092880127,0.000459713683162553,-4.83891326660409e-05,-1.27669672051024e-05,0.000459475932950603,-5.96062626660409e-05,-11.8272661195187,-8.54027399982005e-05,1.121713e-05,0.00015401067562466,-8.98604329632355,0.000206430189106217,2.08710282711697e-05,-2.79158164429161e-06,0.000259962563319979,9.65389827116974e-06
