time_sequence_,path_index_,path_x_,path_y_,path_heading_,path_curvature_,steer_angle_,truck_x_,truck_y_,truck_heading_,truck_heading_rate_,truck_lateral_err_,truck_heading_err_,trailer_path_x_,trailer_path_y_,trailer_path_heading_,trailer_path_curvature_,trailer_x_,trailer_y_,trailer_heading_,trailer_heading_rate_,trailer_lateral_err_,trailer_heading_err_
1,1,-4.25,0,0,0,0,-4.25,0,0,0,0,0,-11.9,0,0,0,-3.4,0,0,0,0,0
2,1,-4.25,0,0,0,0.0030571207585442,-4.25000243985777,4.00794211893445e-07,-4.46772277618006e-08,-1.48389729430126e-05,4.00794211893445e-07,-4.46772277618006e-08,-11.9,0,0,0,-9.04223848532534,1.63411483818756e-07,1.73704674490769e-08,5.84899084363757e-06,1.63411483818756e-07,1.73704674490769e-08
3,1,-4.25,0,0,0,0.00972632034330581,-4.25001400424874,2.95378104596276e-06,-3.60967371548289e-07,-4.85171941945135e-05,2.95378104596276e-06,-3.60967371548289e-07,-11.9,0,0,0,-9.04223062234756,1.28916975692762e-06,1.44473230886947e-07,1.9693440166227e-05,1.28916975692762e-06,1.44473230886947e-07
4,1,-4.25,0,0,0,0.0142006752991657,-4.25002334990968,7.84392872543934e-06,-9.80425237140977e-07,-7.26533856984959e-05,7.84392872543934e-06,-9.80425237140977e-07,-11.9,0,0,0,-9.04219804884264,3.32617479712475e-06,3.98044068841962e-07,2.98512923349857e-05,3.32617479712475e-06,3.98044068841962e-07
5,1,-4.25,0,0,0,0.015354464530712,-4.25002157520285,1.4005901215797e-05,-1.75630998683369e-06,-7.98584019280018e-05,1.4005901215797e-05,-1.75630998683369e-06,-11.9,0,0,0,-9.04213922185658,5.56500323792355e-06,7.14346332164107e-07,3.20187655911297e-05,5.56500323792355e-06,7.14346332164107e-07
6,1,-4.25,0,0,0,0.0143451286553102,-4.25001053190296,2.02234522291727e-05,-2.53404810546031e-06,-7.42541196115949e-05,2.02234522291727e-05,-2.53404810546031e-06,-11.9,0,0,0,-9.04207133643642,7.45308662778083e-06,1.01412223203705e-06,2.70098580616829e-05,7.45308662778083e-06,1.01412223203705e-06
7,1,-4.25,0,0,0,0.0128844390216132,-4.24998548331677,2.57200428459681e-05,-3.22683908857739e-06,-6.43859780955979e-05,2.57200428459681e-05,-3.22683908857739e-06,-11.9,0,0,0,-9.04200391865638,8.87526404791511e-06,1.24373128542496e-06,1.87921348767664e-05,8.87526404791511e-06,1.24373128542496e-06
8,1,-4.25,0,0,0,0.0120797203852542,-4.24993552915531,3.03690899533928e-05,-3.83135775604897e-06,-5.72988987980532e-05,3.03690899533928e-05,-3.83135775604897e-06,-11.9,0,0,0,-9.04193523992285,1.00959408293974e-05,1.39395016725815e-06,1.17121793530207e-05,1.00959408293974e-05,1.39395016725815e-06
9,1,-4.25,0,0,0,0.0118376553536014,-4.24985989737118,3.44387296485192e-05,-4.38752763807066e-06,-5.44956626675518e-05,3.44387296485192e-05,-4.38752763807066e-06,-11.9,0,0,0,-9.04186801752779,1.14823803108409e-05,1.48924628272677e-06,7.95923340440553e-06,1.14823803108409e-05,1.48924628272677e-06
10,1,-4.25,0,0,0,0.0115424026888292,-4.24976557084197,3.82276796345245e-05,-4.93015730522331e-06,-5.42384292713185e-05,3.82276796345245e-05,-4.93015730522331e-06,-11.9,0,0,0,-9.04180818946217,1.32619022809733e-05,1.56505268560161e-06,7.77292887346839e-06,1.32619022809733e-05,1.56505268560161e-06
