time_sequence_,path_index_,path_x_,path_y_,path_heading_,path_curvature_,steer_angle_,truck_x_,truck_y_,truck_heading_,truck_heading_rate_,truck_lateral_err_,truck_heading_err_,trailer_path_x_,trailer_path_y_,trailer_path_heading_,trailer_path_curvature_,trailer_x_,trailer_y_,trailer_heading_,trailer_heading_rate_,trailer_lateral_err_,trailer_heading_err_
1,1,-4.25,0,0,0,0,-4.25,0,0,0,0,0,-11.9,0,0,0,-3.4,0,0,0,0,0
2,1,-4.25,0,0,0,-0.000606395696165696,-4.25000243985777,4.00794211893445e-07,-4.46772277618006e-08,-1.48389729430126e-05,4.00794211893445e-07,-4.46772277618006e-08,-11.9,0,0,0,-9.04223848532534,1.63411483818756e-07,1.73704674490769e-08,5.84899084363757e-06,1.63411483818756e-07,1.73704674490769e-08
3,1,-4.25,0,0,0,-0.00479262976687298,-4.25001400424874,2.95378104596276e-06,-3.60967371548289e-07,-4.85171941945135e-05,2.95378104596276e-06,-3.60967371548289e-07,-11.9,0,0,0,-9.04223062234756,1.28916975692762e-06,1.44473230886947e-07,1.9693440166227e-05,1.28916975692762e-06,1.44473230886947e-07
4,1,-4.25,0,0,0,-0.0130422745254442,-4.25002334990982,7.84392974784942e-06,-9.80424906128118e-07,-7.26533810871463e-05,7.84392974784942e-06,-9.80424906128118e-07,-11.9,0,0,0,-9.04219804884275,3.32617460268743e-06,3.98044046141459e-07,2.98512911979502e-05,3.32617460268743e-06,3.98044046141459e-07
5,1,-4.25,0,0,0,-0.0235918992944722,-4.25002157520397,1.40058994241859e-05,-1.75631094135723e-06,-7.98587333709041e-05,1.40058994241859e-05,-1.75631094135723e-06,-11.9,0,0,0,-9.04213922185743,5.56500372175213e-06,7.14346372298856e-07,3.20187838913576e-05,5.56500372175213e-06,7.14346372298856e-07
6,1,-4.25,0,0,0,-0.0343250570759426,-4.25001053190725,2.02234261496697e-05,-2.53405844253154e-06,-7.42557577399877e-05,2.02234261496697e-05,-2.53405844253154e-06,-11.9,0,0,0,-9.04207133643968,7.45309205539556e-06,1.01412284126749e-06,2.70099616311107e-05,7.45309205539556e-06,1.01412284126749e-06
7,1,-4.25,0,0,0,-0.0438451550701913,-4.24998548332769,2.57199265950815e-05,-3.22688355447867e-06,-6.43913129404336e-05,2.57199265950815e-05,-3.22688355447867e-06,-11.9,0,0,0,-9.04200391866467,8.87528680624788e-06,1.24373411771621e-06,1.87924915097693e-05,8.87528680624788e-06,1.24373411771621e-06
8,1,-4.25,0,0,0,-0.0518729063311779,-4.24993552917735,3.03687491790872e-05,-3.83148757168082e-06,-5.73104940083991e-05,3.03687491790872e-05,-3.83148757168082e-06,-11.9,0,0,0,-9.04193523993969,1.0096004114761e-05,1.39395884881385e-06,1.17129964446884e-05,1.0096004114761e-05,1.39395884881385e-06
9,1,-4.25,0,0,0,-0.0588347267057468,-4.24985989740837,3.44379709957679e-05,-4.38781826333805e-06,-5.45162147839439e-05,3.44379709957679e-05,-4.38781826333805e-06,-11.9,0,0,0,-9.04186801755648,1.14825125009943e-05,1.48926654486488e-06,7.96074430890491e-06,1.14825125009943e-05,1.48926654486488e-06
10,1,-4.25,0,0,0,-0.0652595212422853,-4.24976557089694,3.82262287329014e-05,-4.93072242823293e-06,-5.42729955775583e-05,3.82262287329014e-05,-4.93072242823293e-06,-11.9,0,0,0,-9.04180818950512,1.32621391401504e-05,1.5650932232068e-06,7.77549340927603e-06,1.32621391401504e-05,1.5650932232068e-06
11,1,-4.25,0,0,0,-0.0716747720684201,-4.24965136223469,4.20151870619942e-05,-5.48232058020862e-06,-5.62795457971436e-05,4.20151870619942e-05,-5.48232058020862e-06,-11.9,0,0,0,-9.04175073581646,1.55139163197344e-05,1.65683220483618e-06,1.10944793135804e-05,1.55139163197344e-05,1.65683220483618e-06
12,1,-4.25,0,0,0,-0.0787485036231151,-4.24951012616026,4.61710704621133e-05,-6.06652841068651e-06,-6.05509638355912e-05,4.61710704621133e-05,-6.06652841068651e-06,-11.9,0,0,0,-9.04168299637116,1.82789987445113e-05,1.79694216868707e-06,1.71863817637211e-05,1.82789987445113e-05,1.79694216868707e-06
