time_sequence_,path_index_,path_x_,path_y_,path_heading_,path_curvature_,steer_angle_,truck_x_,truck_y_,truck_heading_,truck_heading_rate_,truck_lateral_err_,truck_heading_err_,trailer_path_x_,trailer_path_y_,trailer_path_heading_,trailer_path_curvature_,trailer_x_,trailer_y_,trailer_heading_,trailer_heading_rate_,trailer_lateral_err_,trailer_heading_err_
1,1,-4.25,0,0,0,0,-4.25,0,0,0,0,0,-11.9,0,0,0,-3.4,0,0,0,0,0
2,1,-4.25,0,0,0,-0.000572802283593004,-4.25000243985777,4.00794211893445e-07,-4.46772277618006e-08,-1.48389729430126e-05,4.00794211893445e-07,-4.46772277618006e-08,-11.9,0,0,0,-9.04223848532534,1.63411483818756e-07,1.73704674490769e-08,5.84899084363757e-06,1.63411483818756e-07,1.73704674490769e-08
3,1,-4.25,0,0,0,-0.0045316933685799,-4.25001400424874,2.95378104596276e-06,-3.60967371548289e-07,-4.85171941945135e-05,2.95378104596276e-06,-3.60967371548289e-07,-11.9,0,0,0,-9.04223062234756,1.28916975692762e-06,1.44473230886947e-07,1.9693440166227e-05,1.28916975692762e-06,1.44473230886947e-07
4,1,-4.25,0,0,0,-0.0123367376138151,-4.25002334990982,7.84392974151125e-06,-9.80424908287421e-07,-7.26533811788633e-05,7.84392974151125e-06,-9.80424908287421e-07,-11.9,0,0,0,-9.04219804884275,3.32617460404707e-06,3.98044046296755e-07,2.98512912097257e-05,3.32617460404707e-06,3.98044046296755e-07
5,1,-4.25,0,0,0,-0.0223206463255045,-4.25002157520395,1.40058994666601e-05,-1.75631092301193e-06,-7.98587276068755e-05,1.40058994666601e-05,-1.75631092301193e-06,-11.9,0,0,0,-9.04213922185741,5.56500371213522e-06,7.1434637134306e-07,3.20187835569468e-05,5.56500371213522e-06,7.1434637134306e-07
6,1,-4.25,0,0,0,-0.0324799589770432,-4.25001053190717,2.02234267903731e-05,-2.534058197606e-06,-7.42557161272204e-05,2.02234267903731e-05,-2.534058197606e-06,-11.9,0,0,0,-9.04207133643961,7.45309192384031e-06,1.01412282628973e-06,2.70099589698439e-05,7.45309192384031e-06,1.01412282628973e-06
7,1,-4.25,0,0,0,-0.0414913646870235,-4.24998548332743,2.57199300110194e-05,-3.22688226911499e-06,-6.43911442777714e-05,2.57199300110194e-05,-3.22688226911499e-06,-11.9,0,0,0,-9.04200391866448,8.8752861323046e-06,1.24373403509822e-06,1.87924802702884e-05,8.8752861323046e-06,1.24373403509822e-06
8,1,-4.25,0,0,0,-0.0490889480039513,-4.24993552917676,3.03687605645023e-05,-3.83148329247112e-06,-5.73100755454616e-05,3.03687605645023e-05,-3.83148329247112e-06,-11.9,0,0,0,-9.04193523993924,1.00960019689427e-05,1.39395856276449e-06,1.17129671582844e-05,1.00960019689427e-05,1.39395856276449e-06
9,1,-4.25,0,0,0,-0.055675438604312,-4.24985989740728,3.44379986931436e-05,-4.38780781510523e-06,-5.45154090071676e-05,3.44379986931436e-05,-4.38780781510523e-06,-11.9,0,0,0,-9.04186801755564,1.14825075758772e-05,1.48926581796896e-06,7.96068530628588e-06,1.14825075758772e-05,1.48926581796896e-06
10,1,-4.25,0,0,0,-0.0617518088441137,-4.24976557089524,3.82262851865897e-05,-4.93070082072286e-06,-5.42715683613478e-05,3.82262851865897e-05,-4.93070082072286e-06,-11.9,0,0,0,-9.04180818950379,1.32621296728639e-05,1.56509167301763e-06,7.77538710820019e-06,1.32621296728639e-05,1.56509167301763e-06
