time_sequence_,path_index_,path_x_,path_y_,path_heading_,path_curvature_,steer_angle_,truck_x_,truck_y_,truck_heading_,truck_heading_rate_,truck_lateral_err_,truck_heading_err_,trailer_path_x_,trailer_path_y_,trailer_path_heading_,trailer_path_curvature_,trailer_x_,trailer_y_,trailer_heading_,trailer_heading_rate_,trailer_lateral_err_,trailer_heading_err_
1,1,-4.25,0,0,0,0,-4.25,0,0,0,0,0,-11.9,0,0,0,-3.4,0,0,0,0,0
2,1,-4.25,0,0,0,-5.1625096232798e-05,-4.2500024398579,4.00794215183429e-07,-4.46772281526319e-08,0,4.00794215183429e-07,-4.46772281526319e-08,-11.9,0,0,0,-9.04223848532552,1.63411485054589e-07,1.73704675774084e-08,0,1.63411485054589e-07,1.73704675774084e-08
3,1,-4.25,0,0,0,-0.000422029492616796,-4.25001400426542,2.9537812682174e-06,-3.60967398064146e-07,0,2.9537812682174e-06,-3.60967398064146e-07,-11.9,0,0,0,-9.04223062236607,1.28916985011281e-06,1.44473241142713e-07,0,1.28916985011281e-06,1.44473241142713e-07
4,1,-4.25,0,0,0,-0.00116172967876665,-4.25002335005747,7.84393018549514e-06,-9.80425040104852e-07,0,7.84393018549514e-06,-9.80425040104852e-07,-11.9,0,0,0,-9.04219804900222,3.32617488611033e-06,3.9804408267403e-07,0,3.32617488611033e-06,3.9804408267403e-07
5,1,-4.25,0,0,0,-0.00211452530943294,-4.25002157566908,1.40058996959975e-05,-1.75631041748609e-06,0,1.40058996959975e-05,-1.75631041748609e-06,-11.9,0,0,0,-9.04213922237777,5.56500294570016e-06,7.14346307822528e-07,0,5.56500294570016e-06,7.14346307822528e-07
6,1,-4.25,0,0,0,-0.00308759714536661,-4.25001053269094,2.02234342221706e-05,-2.53405332019819e-06,0,2.02234342221706e-05,-2.53405332019819e-06,-11.9,0,0,0,-9.04207133736123,7.45308719604453e-06,1.01412228645701e-06,0,7.45308719604453e-06,1.01412228645701e-06
7,1,-4.25,0,0,0,-0.00395187514681144,-4.24998548436745,2.57199814421622e-05,-3.22686039583668e-06,0,2.57199814421622e-05,-3.22686039583668e-06,-11.9,0,0,0,-9.04200391991966,8.87527212288773e-06,1.24373223502878e-06,0,8.87527212288773e-06,1.24373223502878e-06
8,1,-4.25,0,0,0,-0.00467917838333179,-4.24993553069858,3.03689402868439e-05,-3.83141404418825e-06,0,3.03689402868439e-05,-3.83141404418825e-06,-11.9,0,0,0,-9.04193524170624,1.00959657860831e-05,1.39395357862569e-06,0,1.00959657860831e-05,1.39395357862569e-06
9,1,-4.25,0,0,0,-0.00530587912202538,-4.24985989969271,3.44384366128604e-05,-4.38764049470374e-06,0,3.44384366128604e-05,-4.38764049470374e-06,-11.9,0,0,0,-9.04186802008441,1.1482427208183e-05,1.48925380656382e-06,0,1.1482427208183e-05,1.48925380656382e-06
10,1,-4.25,0,0,0,-0.00588087461694683,-4.24976557397497,3.82271783178676e-05,-4.93035536823821e-06,0,3.82271783178676e-05,-4.93035536823821e-06,-11.9,0,0,0,-9.04180819283118,1.32619754319193e-05,1.5650663577233e-06,0,1.32619754319193e-05,1.5650663577233e-06
11,1,-4.25,0,0,0,-0.00645547202644997,-4.24965136613493,4.20169119140735e-05,-5.48163816785936e-06,0,4.20169119140735e-05,-5.48163816785936e-06,-11.9,0,0,0,-9.04175073996124,1.55136397559786e-05,1.6567818861107e-06,0,1.55136397559786e-05,1.6567818861107e-06
12,1,-4.25,0,0,0,-0.00709301199153496,-4.24951013112955,4.61738948592351e-05,-6.06537206907063e-06,0,4.61738948592351e-05,-6.06537206907063e-06,-11.9,0,0,0,-9.04168300153216,1.82785833705134e-05,1.79685730283983e-06,0,1.82785833705134e-05,1.79685730283983e-06
13,1,-4.25,0,0,0,-0.00784771151107297,-4.24934264952485,5.10186625486227e-05,-6.69831438051993e-06,0,5.10186625486227e-05,-6.69831438051993e-06,-11.9,0,0,0,-9.0415992569374,2.15478737058986e-05,2.0048414127351e-06,0,2.15478737058986e-05,2.0048414127351e-06
14,1,-4.25,0,0,0,-0.00875032152891492,-4.24915432873255,5.67206020396907e-05,-7.38932194185174e-06,0,5.67206020396907e-05,-7.38932194185174e-06,-11.9,0,0,0,-9.04149859503157,2.52480340888472e-05,2.28435806345295e-06,0,2.52480340888472e-05,2.28435806345295e-06
15,1,-4.25,0,0,0,-0.00982467312687948,-4.24894302554576,6.34046697170361e-05,-8.15256052685497e-06,0,6.34046697170361e-05,-8.15256052685497e-06,-11.9,0,0,0,-9.04137348629242,2.93022748967882e-05,2.63245861055638e-06,0,2.93022748967882e-05,2.63245861055638e-06
16,1,-4.25,0,0,0,-0.0110923236872199,-4.24870312183319,7.1196079439008e-05,-9.00075158820816e-06,0,7.1196079439008e-05,-9.00075158820816e-06,-11.9,0,0,0,-9.04121331723364,3.36409458763007e-05,3.04378368427721e-06,0,3.36409458763007e-05,3.04378368427721e-06
17,1,-4.25,0,0,0,-0.0125518828206567,-4.24843550406512,8.0096636929455e-05,-9.93501411694211e-06,0,8.0096636929455e-05,-9.93501411694211e-06,-11.9,0,0,0,-9.04101417387094,3.81702069182766e-05,3.50638373174258e-06,0,3.81702069182766e-05,3.50638373174258e-06
18,1,-4.25,0,0,0,-0.014185520008275,-4.24814092404833,9.00013753840614e-05,-1.09591732591242e-05,0,9.00013753840614e-05,-1.09591732591242e-05,-11.9,0,0,0,-9.04077365540608,4.28179005668499e-05,4.00468892549212e-06,0,4.28179005668499e-05,4.00468892549212e-06
19,1,-4.25,0,0,0,-0.0159855360978814,-4.24781415153227,0.000100866415007385,-1.20833691948923e-05,0,0.000100866415007385,-1.20833691948923e-05,-11.9,0,0,0,-9.04048570906388,4.75833036825515e-05,4.52690124839139e-06,0,4.75833036825515e-05,4.52690124839139e-06
20,1,-4.25,0,0,0,-0.0179474787455002,-4.24745302184898,0.000112685008217803,-1.33105968895625e-05,0,0.000112685008217803,-1.33105968895625e-05,-11.9,0,0,0,-9.04014835096994,5.25069482868535e-05,5.06521220796473e-06,0,5.25069482868535e-05,5.06521220796473e-06
21,1,-4.25,0,0,0,-0.0200561178549066,-4.24705755486951,0.000125351618455273,-1.46398965638608e-05,0,0.000125351618455273,-1.46398965638608e-05,-11.9,0,0,0,-9.0397624081737,5.76321260748849e-05,5.61451658660899e-06,0,5.76321260748849e-05,5.61451658660899e-06
22,1,-4.25,0,0,0,-0.0222878242314225,-4.24661916562744,0.000138677553102041,-1.60636078893399e-05,0,0.000138677553102041,-1.60636078893399e-05,-11.9,0,0,0,-9.03932189409021,6.29960238827885e-05,6.16979700022848e-06,0,6.29960238827885e-05,6.16979700022848e-06
23,1,-4.25,0,0,0,-0.0245987051879567,-4.24612974467298,0.000152411495325359,-1.75472028919148e-05,0,0.000152411495325359,-1.75472028919148e-05,-11.9,0,0,0,-9.03882256334757,6.85906531102572e-05,6.72004173929649e-06,0,6.85906531102572e-05,6.72004173929649e-06
24,1,-4.25,0,0,0,-0.026955042253653,-4.24558832665318,0.000166350750045067,-1.90608807043621e-05,0,0.000166350750045067,-1.90608807043621e-05,-11.9,0,0,0,-9.03826749073642,7.44373613901683e-05,7.25931621912376e-06,0,7.44373613901683e-05,7.25931621912376e-06
25,1,-4.25,0,0,0,-0.0293572131367443,-4.24498683509189,0.000180434327097777,-2.06038132817671e-05,0,0.000180434327097777,-2.06038132817671e-05,-11.9,0,0,0,-9.03765310503935,8.06303128081997e-05,7.79700502168611e-06,0,8.06303128081997e-05,7.79700502168611e-06
26,1,-4.25,0,0,0,-0.0318143897682105,-4.24431378710381,0.000194725228230337,-2.21782264186389e-05,0,0.000194725228230337,-2.21782264186389e-05,-11.9,0,0,0,-9.03697213585342,8.72587218417971e-05,8.34894321740344e-06,0,8.72587218417971e-05,8.34894321740344e-06
27,1,-4.25,0,0,0,-0.0343289191529142,-4.2435647085271,0.000209225539978492,-2.37698708549149e-05,0,0.000209225539978492,-2.37698708549149e-05,-11.9,0,0,0,-9.03622329181411,9.43258158639941e-05,8.92245370635443e-06,0,9.43258158639941e-05,8.92245370635443e-06
28,1,-4.25,0,0,0,-0.0369034422627801,-4.24273131614412,0.000223878148393663,-2.53674496026303e-05,0,0.000223878148393663,-2.53674496026303e-05,-11.9,0,0,0,-9.03540146143296,0.000101788743010527,9.51838008405687e-06,0,0.000101788743010527,9.51838008405687e-06
29,1,-4.25,0,0,0,-0.0395218634056727,-4.24180612526053,0.000238618639007559,-2.69555832525061e-05,0,0.000238618639007559,-2.69555832525061e-05,-11.9,0,0,0,-9.03450144639905,0.00010955012153979,1.01353540428727e-05,0,0.00010955012153979,1.01353540428727e-05
30,2,-4.23181653,1.046742e-07,1.150788e-05,0.0006328757,5.60104511244615,-4.24078709041305,0.000253294957252855,-2.85046526274228e-05,0.0113917626,0.000253293515168854,-4.00125326274228e-05,-11.8818165294934,-8.79306077980569e-05,1.150788e-05,0.000632875903213695,-9.03352180249198,0.000117430787174476,1.07686149857403e-05,0.0113917662578465,0.000172583561036693,-7.39265014259721e-07
31,2,-4.23181653,1.046742e-07,1.150788e-05,0.0006328757,5.5983962428192,-4.23966662446946,0.000267771506696449,-3.00012145369296e-05,0.0113917626,0.000267757170423866,-4.15090945369296e-05,-11.8818165294934,-8.79306077980569e-05,1.150788e-05,0.000632875903213695,-9.03245493608012,0.000125272217636086,1.14159527026294e-05,0.0113917662578465,0.00018041271412714,-9.19272973705694e-08
32,2,-4.23181653,1.046742e-07,1.150788e-05,0.0006328757,5.59573154615702,-4.23844067373998,0.000282070890565094,-3.14126877218296e-05,0.0113917626,0.000282042446197684,-4.29205677218296e-05,-11.8818165294934,-8.79306077980569e-05,1.150788e-05,0.000632875903213695,-9.03129561620416,0.000132932590081077,1.20737115182153e-05,0.0113917662578465,0.000188059745257609,5.65831518215305e-07
33,2,-4.23181653,1.046742e-07,1.150788e-05,0.0006328757,5.59305363762398,-4.23710926662086,0.000296166282112368,-3.2723485662849e-05,0.0113917626,0.000296122516070668,-4.4231365662849e-05,-11.8818165294934,-8.79306077980569e-05,1.150788e-05,0.000632875903213695,-9.0300416393963,0.000140259089546347,1.27359620688478e-05,0.0113917662578465,0.000195371814107767,1.22808206884777e-06
34,2,-4.23181653,1.046742e-07,1.150788e-05,0.0006328757,5.59038348741919,-4.23566928400342,0.000309974886566005,-3.39649221967511e-05,0.0113917626,0.000309914549376227,-4.54728021967511e-05,-11.8818165294934,-8.79306077980569e-05,1.150788e-05,0.000632875903213695,-9.0286872482951,0.000147132942689988,1.34048622736995e-05,0.0113917662578465,0.000202230081080688,1.89698227369946e-06
35,2,-4.23181653,1.046742e-07,1.150788e-05,0.0006328757,5.58772478113505,-4.23411977722514,0.000323457129816524,-3.51201272945881e-05,0.0113917626,0.00032337896108779,-4.66280072945881e-05,-11.8818165294934,-8.79306077980569e-05,1.150788e-05,0.000632875903213695,-9.02722799357288,0.000153365326023987,1.40788868450931e-05,0.0113917662578465,0.000208445671486041,2.57100684509315e-06
36,2,-4.23181653,1.046742e-07,1.150788e-05,0.0006328757,5.5850684792474,-4.23245931923522,0.00033662475756056,-3.61682820202059e-05,0.0113917626,0.000336527480479661,-4.76761620202059e-05,-11.8818165294934,-8.79306077980569e-05,1.150788e-05,0.000632875903213695,-9.0256586530814,0.000158820627854737,1.47522650909205e-05,0.0113917662578465,0.000213882913534376,3.24438509092049e-06
37,2,-4.23181653,1.046742e-07,1.150788e-05,0.0006328757,5.58239820942248,-4.23068654881598,0.000349570136409729,-3.71069259881035e-05,0.0113917626,0.000349452458498721,-4.86148059881035e-05,-11.8818165294934,-8.79306077980569e-05,1.150788e-05,0.000632875903213695,-9.02397411743294,0.000163489957702834,1.54179850817134e-05,0.0113917662578465,0.000218532857948066,3.91010508171344e-06
38,2,-4.23181653,1.046742e-07,1.150788e-05,0.0006328757,5.57969385726729,-4.22879983737416,0.000362371759132042,-3.79264845577647e-05,0.0113917626,0.00036223236917132,-4.94343645577647e-05,-11.8818165294934,-8.79306077980569e-05,1.150788e-05,0.000632875903213695,-9.02216931211949,0.000167424261775522,1.60656021789113e-05,0.0113917662578465,0.000222446392537523,4.55772217891127e-06
39,2,-4.23181653,1.046742e-07,1.150788e-05,0.0006328757,5.57647466864518,-4.22679675947156,0.000375075782879724,-3.86435499097032e-05,0.0113917626,0.000374913341738028,-5.01514299097032e-05,-11.8818165294934,-8.79306077980569e-05,1.150788e-05,0.000632875903213695,-9.02023880327472,0.000170794062192612,1.66924022479075e-05,0.0113917662578465,0.000225793976890266,5.18452224790754e-06
40,2,-4.23181653,1.046742e-07,1.150788e-05,0.0006328757,5.57066613636889,-4.22467532911326,0.000387587839841268,-3.92365930253803e-05,0.0113917626,0.000387400985532751,-5.07444730253803e-05,-11.8818165294934,-8.79306077980569e-05,1.150788e-05,0.000632875903213695,-9.0181780959979,0.000173727861793482,1.72877408479525e-05,0.0113917662578465,0.000228704062118886,5.77986084795253e-06
41,3,-4.21363306,4.183158e-07,2.298432e-05,0.0006311472,5.55265822499275,-4.22243128219403,0.000399796904898056,-3.97235450699752e-05,0.0113606496,0.000399580810146885,-6.27078650699752e-05,-11.8636330579793,-0.000175411732184519,2.298432e-05,0.000631146860213872,-9.01598144974581,0.000176485166844688,1.78501296794132e-05,0.0113606434838497,0.000286445563129865,-5.13419032058681e-06
42,3,-4.21363306,4.183158e-07,2.298432e-05,0.0006311472,5.54641290679499,-4.22006069981641,0.000411515894846597,-4.01071756451291e-05,0.0113606496,0.000411245313868382,-6.30914956451291e-05,-11.8636330579793,-0.000175411732184519,2.298432e-05,0.000631146860213872,-9.01364444644849,0.000179290538615871,1.83733438064409e-05,0.0113606434838497,0.000289197220468686,-4.61097619355914e-06
43,3,-4.21363306,4.183158e-07,2.298432e-05,0.0006311472,5.53996206620686,-4.2175608140263,0.000422485702295391,-4.03689685612591e-05,0.0113606496,0.00042215766313932,-6.33532885612591e-05,-11.8636330579793,-0.000175411732184519,2.298432e-05,0.000631146860213872,-9.01116473395085,0.000182282225335462,1.88475363885752e-05,0.0113606434838497,0.000292131912681938,-4.13678361142481e-06
44,3,-4.21363306,4.183158e-07,2.298432e-05,0.0006311472,5.53336028309732,-4.21492746788515,0.000432476800190363,-4.05097822625278e-05,0.0113606496,0.000432088235361279,-6.34941022625278e-05,-11.8636330579793,-0.000175411732184519,2.298432e-05,0.000631146860213872,-9.0085396221154,0.000185575582718082,1.92724955055779e-05,0.0113606434838497,0.000295364933653232,-3.71182449442211e-06
45,3,-4.21363306,4.183158e-07,2.298432e-05,0.0006311472,5.52669106065245,-4.21215639880653,0.000441366091672976,-4.05110627291109e-05,0.0113606496,0.000440913835703105,-6.34953827291109e-05,-11.8636330579793,-0.000175411732184519,2.298432e-05,0.000631146860213872,-9.00576714855836,0.000189154666465812,1.96466755358112e-05,0.0113606434838497,0.000298880293980596,-3.33764446418885e-06
46,3,-4.21363306,4.183158e-07,2.298432e-05,0.0006311472,5.52001061229986,-4.20924438282297,0.000449162087569285,-4.03613930439011e-05,0.0113606496,0.00044864290089015,-6.33457130439011e-05,-11.8636330579793,-0.000175411732184519,2.298432e-05,0.000631146860213872,-9.00284696601151,0.000192934655790405,1.99676638376065e-05,0.0113606434838497,0.00030259316489408,-3.01665616239353e-06
47,3,-4.21363306,4.183158e-07,2.298432e-05,0.0006311472,5.51331983043614,-4.20618853802741,0.000455929838267956,-4.00424452332738e-05,0.0113606496,0.000455340415072387,-6.30267652332738e-05,-11.8636330579793,-0.000175411732184519,2.298432e-05,0.000631146860213872,-8.99977946526506,0.000196725222661937,2.02289634758894e-05,0.0113606434838497,0.000306313227345861,-2.75535652411058e-06
48,4,-4.19544959,9.403533e-07,3.442934e-05,0.0006294186,5.49632807998994,-4.20298570399941,0.000461814445165475,-3.95161362344306e-05,0.0113295348,0.000461133555023433,-7.39454762344306e-05,-11.8454495854659,-0.000262444097647965,3.442934e-05,0.000629418917031959,-8.99656490198304,0.000200223531345061,2.04220425204699e-05,0.0113295405065753,0.00036458240934976,-1.40072974795301e-05
49,4,-4.19544959,9.403533e-07,3.442934e-05,0.0006294186,5.48974265777978,-4.19963325649226,0.000467103262408246,-3.87688006817697e-05,0.0113295348,0.000466306949708036,-7.31981406817697e-05,-11.8454495854659,-0.000262444097647965,3.442934e-05,0.000629418917031959,-8.99320380874049,0.000203175498369188,2.05477936889623e-05,0.0113295405065753,0.000367418656150142,-1.38815463110377e-05
